Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,GDP,Status,Status_Encoded
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,139,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130,Yes,No,Yes,Female,No,18,6,6,6,12,0,0,6,7,5,14,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,136,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119,Yes,No,Yes,Female,Yes,18,8,8,7,13,0,0,8,8,7,13,0,-1,Un-Dropout,1
Single,1st phase - general contingent,2,Basic Education,Daytime,Secondary education,133,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130,Yes,No,Yes,Female,No,19,6,6,0,0,0,0,6,0,0,0,0,-1,Dropout,0
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,110,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111,Yes,No,Yes,Female,Yes,21,6,7,6,10,0,0,6,8,5,11,0,3,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,149,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137,Yes,No,Yes,Female,Yes,18,5,7,4,13,0,0,5,5,5,12,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,127,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120,Yes,No,Yes,Female,No,20,6,6,5,13,0,0,6,7,0,0,0,-4,Dropout,0
Single,3rd phase - general contingent,1,Social Service,Daytime,Secondary education,137,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137,Yes,No,Yes,Female,No,18,6,10,1,12,0,0,6,14,2,11,0,1,Un-Dropout,1
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,135,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127,Yes,No,Yes,Female,No,18,7,8,7,13,0,0,8,8,8,14,0,-4,Un-Dropout,1
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,137,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136,Yes,No,Yes,Female,No,20,5,8,4,12,1,0,5,8,4,12,2,1,Un-Dropout,1
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,140,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124,Yes,No,Yes,Female,No,18,7,7,6,11,0,0,7,8,6,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,122,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120,No,No,Yes,Female,Yes,21,0,0,0,0,0,0,0,0,0,0,0,2,Un-Dropout,1
Single,3rd phase - general contingent,4,Oral Hygiene,Daytime,Secondary education,127,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",121,Yes,No,Yes,Female,No,20,7,14,7,11,0,0,8,9,8,11,0,-1,Un-Dropout,1
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,142,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",125,Yes,No,Yes,Female,No,18,8,12,7,12,0,0,8,12,7,12,0,-1,Un-Dropout,1
Single,1st phase - general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,125,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114,Yes,No,Yes,Female,Yes,19,6,8,6,13,0,0,6,7,6,12,0,2,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,126,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123,No,No,Yes,Female,No,19,7,8,6,13,0,0,8,9,7,14,0,2,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,151,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,157,Yes,Yes,Yes,Female,Yes,18,6,8,5,11,0,0,6,12,4,11,0,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,115,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116,Yes,No,Yes,Female,No,21,6,9,6,11,0,0,6,9,6,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,138,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131,Yes,No,Yes,Female,No,18,5,9,5,12,2,0,5,7,4,13,0,-3,Un-Dropout,1
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,135,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122,Yes,No,Yes,Female,No,20,5,6,5,12,0,0,5,6,5,12,0,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,127,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,118,Yes,No,Yes,Male,No,19,7,9,6,12,0,0,7,7,6,13,0,0,Un-Dropout,1
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,150,Higher Education - Master's,Higher Education - Doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities,150,No,No,Yes,Male,No,21,6,15,5,11,0,0,6,17,5,10,0,0,Un-Dropout,1
Single,Change of institution/course,1,Communication Design,Daytime,Secondary education,125,Professional higher technical course,Higher Education - Degree,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations",130,Yes,No,Yes,Male,No,20,6,7,6,12,0,0,6,9,4,13,0,3,Un-Dropout,1
Single,1st phase - general contingent,1,Management,Daytime,Secondary education,143,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138,No,No,No,Male,No,18,5,9,3,11,0,0,5,8,2,13,0,3,Un-Dropout,1
Single,3rd phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,138,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134,Yes,No,Yes,Female,No,19,6,6,6,12,0,0,6,8,6,14,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary education,130,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131,No,No,Yes,Male,No,34,5,6,5,12,0,0,5,9,5,13,0,0,Un-Dropout,1
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,130,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102,No,Yes,No,Male,No,37,7,7,0,0,0,0,7,7,1,10,0,3,Dropout,0
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year of schooling - not completed,133,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,128,Yes,No,Yes,Male,No,43,5,0,0,0,0,0,5,0,0,0,0,0,Dropout,0
Single,Change of course,1,Management,Daytime,Secondary education,140,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122,No,No,Yes,Female,No,55,5,10,1,10,0,0,5,8,2,12,2,0,Dropout,0
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,120,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113,Yes,No,Yes,Female,No,39,5,8,5,11,0,0,5,5,5,11,0,0,Un-Dropout,1
Single,Technological specialization diploma holders,1,Equinculture,Daytime,Technological specialization course,120,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,No,Yes,No,Female,No,20,6,13,3,11,0,1,6,11,3,12,0,1,Dropout,0
Single,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary education,126,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121,No,Yes,Yes,Female,No,18,6,6,4,12,0,0,5,5,0,0,0,-1,Dropout,0
Single,1st phase - general contingent,2,Management,Daytime,Secondary education,133,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120,Yes,No,Yes,Female,No,22,5,5,5,14,0,0,5,5,5,15,0,3,Un-Dropout,1
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,103,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100,Yes,No,Yes,Female,No,22,7,9,5,13,0,0,8,9,7,14,0,2,Un-Dropout,1
Single,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121,No,No,No,Female,No,20,6,7,4,13,0,0,6,7,5,13,0,1,Dropout,0
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109,No,No,Yes,Female,No,29,5,0,0,0,0,0,5,0,0,0,0,0,Dropout,0
Single,2nd phase - general contingent,1,Management (evening attendance),Evening,Secondary education,154,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134,No,No,Yes,Female,No,24,5,9,2,11,0,0,5,11,3,14,1,0,Un-Dropout,1
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127,Yes,No,Yes,Female,No,18,6,6,6,11,0,0,6,8,5,13,0,2,Un-Dropout,1
Single,2nd phase - general contingent,6,Nursing,Daytime,Secondary education,132,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132,Yes,No,Yes,Female,Yes,22,7,8,6,13,0,0,8,9,7,13,0,2,Un-Dropout,1
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133,No,No,Yes,Female,Yes,21,6,6,6,11,0,2,6,7,6,13,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,139,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126,No,No,Yes,Female,Yes,19,6,7,5,12,0,0,6,7,6,12,0,-1,Un-Dropout,1
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113,No,No,Yes,Female,Yes,24,6,6,6,13,0,0,6,6,6,14,0,1,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,139,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121,Yes,No,Yes,Female,Yes,19,8,10,6,11,0,0,8,10,6,11,0,-3,Un-Dropout,1
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,127,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121,Yes,No,Yes,Female,Yes,20,6,11,4,14,0,0,6,12,3,11,0,-3,Un-Dropout,1
Single,1st phase - general contingent,3,Equinculture,Daytime,Secondary education,167,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,159,No,No,Yes,Female,No,19,5,7,5,14,0,0,5,5,5,15,0,0,Un-Dropout,1
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,130,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,No,No,Yes,Female,No,27,5,12,5,10,0,0,5,10,5,11,0,-3,Dropout,0
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,130,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129,Yes,No,Yes,Female,No,18,7,9,7,13,0,0,8,10,8,13,0,-4,Un-Dropout,1
Married,Holders of other higher courses,1,Tourism,Daytime,Higher education - degree,130,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130,No,No,Yes,Female,No,39,6,10,0,0,0,0,6,6,0,0,0,1,Dropout,0
Single,Over 23 years old,1,Equinculture,Daytime,Higher education - degree (1st cycle),129,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155,Yes,No,Yes,Female,No,27,6,9,5,13,0,5,11,13,10,12,0,1,Dropout,0
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,141,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139,Yes,No,Yes,Female,No,18,8,8,8,14,0,0,8,8,8,14,0,-3,Un-Dropout,1
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,125,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,115,Yes,No,Yes,Female,No,18,0,0,0,0,0,0,0,0,0,0,0,0,Un-Dropout,1
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,125,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114,No,No,Yes,Female,No,18,7,8,6,13,0,0,8,12,7,12,0,0,Un-Dropout,1
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131,No,No,Yes,Female,Yes,21,6,7,6,12,0,2,6,7,6,12,0,0,Un-Dropout,1
Single,2nd phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,133,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126,Yes,No,Yes,Male,Yes,19,0,0,0,0,0,0,0,0,0,0,0,1,Un-Dropout,1
Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary education,127,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,130,Yes,No,Yes,Male,No,19,6,6,5,11,0,0,6,8,1,10,0,1,Un-Dropout,1
Single,Change of course,1,Communication Design,Daytime,Secondary education,116,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120,No,No,Yes,Male,No,24,6,6,0,0,0,0,6,6,0,0,0,-1,Un-Dropout,1
Divorced,Transfer,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,Yes,No,Yes,Male,No,29,7,10,5,11,0,1,8,10,5,11,0,0,Dropout,0
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,139,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128,Yes,No,Yes,Male,Yes,19,0,0,0,0,0,0,0,0,0,0,0,1,Un-Dropout,1
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,130,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130,Yes,No,Yes,Male,No,23,6,8,6,12,0,0,6,7,6,12,0,3,Un-Dropout,1
Single,1st phase - general contingent,3,Management,Daytime,Secondary education,125,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120,No,Yes,Yes,Male,No,19,5,8,5,11,0,0,5,10,4,10,3,0,Dropout,0
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,160,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,100,No,No,Yes,Male,No,26,6,7,6,12,0,0,6,8,5,10,0,-1,Un-Dropout,1
Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,148,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",134,No,No,Yes,Male,No,18,5,9,0,0,0,0,5,5,0,0,0,0,Un-Dropout,1
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,150,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,130,No,No,Yes,Male,No,24,7,8,7,11,0,0,8,8,8,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,141,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,135,Yes,No,Yes,Male,No,19,0,0,0,0,0,0,0,0,0,0,0,-4,Dropout,0
Single,2nd phase - general contingent,4,Tourism,Daytime,Secondary education,118,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",111,Yes,No,Yes,Male,No,18,6,12,3,11,0,0,6,12,1,12,0,1,Dropout,0
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,142,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,132,Yes,No,Yes,Male,No,18,6,8,6,12,0,0,6,11,3,12,0,1,Un-Dropout,1
Single,2nd phase - general contingent,3,Management,Daytime,Secondary education,120,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115,Yes,Yes,Yes,Male,No,18,5,8,3,10,0,0,5,11,3,10,0,1,Dropout,0
Single,3rd phase - general contingent,4,Tourism,Daytime,Secondary education,106,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",106,Yes,No,Yes,Male,Yes,21,6,8,4,10,0,0,6,11,1,11,0,-3,Dropout,0
